x1,x2,x3,x4,x5,y
2.18,21.0,18.0,4.15,16.0,0.0
8.4,238.0,79.0,5.22,25.0,0.0
10.92,112.0,101.0,4.93,27.0,0.0
5.52,228.0,55.0,4.68,29.0,1.0
7.64,45.0,46.0,4.5,47.0,1.0
4.45,25.0,11.0,3.3,11.0,0.0
11.49,120.0,12.0,4.13,38.0,1.0
9.22,91.0,56.0,4.28,30.0,0.0
8.19,84.0,19.0,4.68,8.0,1.0
3.01,81.0,16.0,4.41,8.0,0.0
1.88,121.0,19.0,4.45,11.0,0.0
10.26,106.0,75.0,4.83,33.0,0.0
12.18,190.0,37.0,4.52,39.0,0.0
7.85,104.0,18.0,4.05,14.0,0.0
10.0,148.0,90.0,5.26,37.0,0.0
11.96,248.0,62.0,4.69,33.0,0.0
1.34,101.0,12.0,3.98,15.0,0.0
9.42,186.0,91.0,5.23,24.0,0.0
10.09,132.0,63.0,4.98,10.0,0.0
9.25,205.0,70.0,4.89,9.0,0.0
8.57,236.0,83.0,5.31,286.0,0.0
10.18,138.0,50.0,4.2,71.0,0.0
10.89,61.0,79.0,4.45,4.0,1.0
2.24,78.0,21.0,4.57,12.0,0.0
7.51,101.0,45.0,4.52,31.0,0.0
2.8,87.0,16.0,4.41,8.0,0.0
12.97,259.0,82.0,5.04,1.0,0.0
2.6,48.0,25.0,4.76,14.0,0.0
9.65,198.0,80.0,5.0,15.0,0.0
8.79,171.0,42.0,4.62,6.0,0.0
10.8,225.0,20.0,4.33,31.0,1.0
6.21,46.0,47.0,4.02,50.0,0.0
2.67,146.0,24.0,4.65,17.0,1.0
8.82,56.0,27.0,4.19,30.0,1.0
11.19,130.0,47.0,5.0,13.0,0.0
2.11,114.0,11.0,4.32,14.0,0.0
7.82,143.0,31.0,3.91,9.0,0.0
5.87,153.0,24.0,3.7,26.0,1.0
9.37,120.0,72.0,5.16,34.0,0.0
8.72,217.0,83.0,5.21,3.0,0.0
4.32,63.0,40.0,4.5,39.0,0.0
4.97,96.0,33.0,4.3,21.0,1.0
8.32,198.0,21.0,4.91,11.0,0.0
8.58,219.0,26.0,4.91,30.0,0.0
